IPC	Parent_IPC	Level	Description	Description_EN
B60Q	B60	2	一般车辆照明或信号装置的布置，及其安装或支承或其电路（信号或照明装置的布置，及其安装或支承，用于轨道车辆的入B61D，用于自行车的入B62J，用于船舶的入B63B，用于飞机的入B64D；一般照明，照明装置本身入F21，H05B；一般信号装置入G08；电气开关本身入H01H）〔4〕	ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL (arrangement of signalling or lighting devices, the mounting or supporting thereof, for rail vehicles B61D, for cycles B62J, for ships B63B, for aircraft B64D; lighting in general, lighting devices per seF21, H05B; signalling in general G08; electric switches per seH01H) [4]
B60Q1/00	B60Q	3	光学信号或照明装置的布置，及其安装或支承或其所用电路（用于车辆内部照明的入B60Q 3/00）〔4〕	Arrangement of optical signalling or lighting devices, the mounting or supporting thereof or circuits therefor (for lighting vehicle interior B60Q 3/00) [4]
B60Q1/02	B60Q1/00	4	装置主要用于照亮前方路程或照亮路程或周围的其他区域	the devices being primarily intended to illuminate the way ahead or to illuminate other areas of way or environments
B60Q1/04	B60Q1/02	5	装置是前大灯	the devices being headlights
B60Q1/05	B60Q1/04	6	可伸缩的〔5〕	retractable [5]
B60Q1/06	B60Q1/04	6	可调节的，例如在车内遥控的(B60Q 1/05优先)〔5〕	adjustable, e.g. remotely-controlled from inside vehicle (B60Q 1/05 takes precedence) [5]
B60Q1/064	B60Q1/06	7	用流体装置的〔5〕	by fluid means [5]
B60Q1/068	B60Q1/06	7	用机械装置的〔5〕	by mechanical means [5]
B60Q1/072	B60Q1/068	8	具有可弯曲部件的，例如链条〔5〕	comprising a flexible element, e.g. chain [5]
B60Q1/076	B60Q1/06	7	用电装置的〔5〕	by electric means [5]
B60Q1/08	B60Q1/06	7	自动的	automatically
B60Q1/10	B60Q1/08	8	由于车辆倾斜，例如由于货物分布	due to vehicle inclination, e.g. due to load distribution
B60Q1/105	B60Q1/10	9	用流体装置的〔5〕	by fluid means [5]
B60Q1/11	B60Q1/10	9	用机械装置的〔5〕	by mechanical means [5]
B60Q1/115	B60Q1/10	9	用电装置的〔5〕	by electric means [5]
B60Q1/12	B60Q1/08	8	由于转向位置	due to steering position
B60Q1/124	B60Q1/12	9	用机械装置的〔5〕	by mechanical means [5]
B60Q1/128	B60Q1/124	10	具有可弯曲部件的，例如链条〔5〕	comprising a flexible element, e.g. chain [5]
B60Q1/132	B60Q1/124	10	具有齿轮啮合部件的〔5〕	comprising meshing gear elements [5]
B60Q1/136	B60Q1/124	10	具有刚性杆系部件的〔5〕	comprising rigid link elements [5]
B60Q1/14	B60Q1/04	6	有变近光装置的	having dimming means
B60Q1/16	B60Q1/04	6	不对称地照亮路程的	illuminating the way asymmetrically
B60Q1/18	B60Q1/04	6	是附加的前灯	being additional front lights
B60Q1/20	B60Q1/18	7	雾灯	Fog lights
B60Q1/22	B60Q1/02	5	用于倒车行驶的	for reverse drive
B60Q1/24	B60Q1/02	5	不仅用于前方路程还包括其他区域的照明	for lighting other areas than only the way ahead
B60Q1/26	B60Q1/00	4	装置主要用于向其他交通工具指明车辆及其部件或发出信号	the devices being primarily intended to indicate the vehicle, or parts thereof, or to give signals, to other traffic
B60Q1/28	B60Q1/26	5	用于指明车辆前部的	for indicating front of vehicle
B60Q1/30	B60Q1/26	5	用于指明车辆后部的，例如用反射面的	for indicating rear of vehicle, e.g. by means of reflecting surfaces
B60Q1/32	B60Q1/26	5	用于指明车辆侧面的	for indicating vehicle sides
B60Q1/34	B60Q1/26	5	用于指明行驶方向变化的（B60Q 1/22优先）	for indicating change of drive direction (B60Q 1/22 takes precedence)
B60Q1/36	B60Q1/34	6	使用活动部件的，例如使用装有闪光灯的臂	using movable members, e.g. arms with built-in flashing lamps
B60Q1/38	B60Q1/34	6	使用固定安装光源的，例如使用固定式闪光灯的	using immovably-mounted light sources, e.g. fixed flashing lamps
B60Q1/40	B60Q1/34	6	能自动回复到不工作位置上的	having automatic return to inoperative position
B60Q1/42	B60Q1/40	7	用于方向盘的位置	due to steering-wheel position
B60Q1/44	B60Q1/26	5	用于指明制动作用的	for indicating braking action
B60Q1/46	B60Q1/26	5	用于在行车时发出闪光警告信号的，而不是发出行驶方向改变的信号，例如前大灯闪光	for giving flashing caution signals during drive, other than signalling change of direction, e.g. flashing the headlights
