IPC	Parent_IPC	Level	Description	Description_EN
D06M13/11	D06M13/10	5	含环氧基的化合物或上述化合物的前体〔5〕	Compounds containing epoxy groups or precursors thereof [5]
D06M13/12	D06M13/10	5	醛；酮	Aldehydes; Ketones
D06M13/123	D06M13/12	6	多醛；多酮〔5〕	Polyaldehydes; Polyketones [5]
D06M13/127	D06M13/12	6	单醛，如甲醛；单酮〔5〕	Mono-aldehydes, e.g. formaldehyde; Monoketones [5]
D06M13/13	D06M13/12	6	不饱和醛，如丙烯醛；不饱和酮，烯酮〔5〕	Unsaturated aldehydes, e.g. acrolein; Unsaturated ketones; Ketenes [5]
D06M13/133	D06M13/12	6	卤化醛，卤化酮〔5〕	Halogenated aldehydes; Halogenated ketones [5]
D06M13/137	D06M13/10	5	缩醛，如缩甲醛；缩酮〔5〕	Acetals, e.g. formals, ketals [5]
D06M13/144	D06M13/10	5	醇；金属醇化物（D06M 13/11优先）〔5〕	Alcohols; Metal alcoholates (D06M 13/11 takes precedence) [5]
D06M13/148	D06M13/144	6	多元醇，如乙二醇〔5〕	Polyalcohols, e.g. glycerol [5]
D06M13/152	D06M13/10	5	有羟基连在六元芳环的碳原子上〔5〕	having a hydroxy group bound to a carbon atom of a six-membered aromatic ring [5]
D06M13/156	D06M13/152	6	含卤原子的〔5〕	containing halogen atoms [5]
D06M13/165	D06M13/10	5	醚（D06M 13/11优先）〔5〕	Ethers (D06M 13/11 takes precedence) [5]
D06M13/17	D06M13/165	6	聚亚氧烷基乙二醇醚〔5〕	Polyoxyalkyleneglycol ethers [5]
D06M13/175	D06M13/165	6	不饱和醚，如乙烯醚〔5〕	Unsaturated ethers, e.g. vinylethers [5]
D06M13/184	D06M13/10	5	羧酸；酐、其卤化物或盐〔5〕	Carboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/188	D06M13/184	6	单羧酸；酐、其卤化物或盐〔5〕	Monocarboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/192	D06M13/184	6	多元羧酸；酐、其卤化物或盐〔5〕	Polycarboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/196	D06M13/184	6	过羧酸；酐，卤化物或其盐〔5〕	Percarboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/203	D06M13/184	6	不饱和羧酸；酐、其卤化物或盐〔5〕	Unsaturated carboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/207	D06M13/184	6	取代的羧酸，如由羟基或酮基取代；酐，其卤化物或盐〔5〕	Substituted carboxylic acids, e.g. by hydroxy or keto groups; Anhydrides, halides or salts thereof [5]
D06M13/21	D06M13/207	7	卤代羧酸；酐、其卤化物或盐〔5〕	Halogenated carboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/213	D06M13/21	8	过氟烷基羧酸；酐、其卤化物或盐〔5〕	Perfluoroalkyl carboxylic acids; Anhydrides, halides or salts thereof [5]
D06M13/217	D06M13/207	7	具有羧基为末端的聚亚氧烷基乙二醇醚；酐、其卤化物或盐〔5〕	Polyoxyalkyleneglycol ethers with a terminal carboxyl group; Anhydrides, halides or salts thereof [5]
D06M13/224	D06M13/10	5	羧酸酯；碳酸酯〔5〕	Esters of carboxylic acids; Esters of carbonic acid [5]
D06M13/228	D06M13/224	6	环酯，如内酯〔5〕	Cyclic esters, e.g. lactones [5]
D06M13/232	D06M13/224	6	有机碳酸酯〔5〕	Organic carbonates [5]
D06M13/236	D06M13/224	6	含卤原子〔5〕	containing halogen atoms [5]
D06M13/238	D06M13/224	6	鞣酸类，如鞣酸〔5〕	Tannins, e.g. gallotannic acids [5]
D06M13/244	D06M13/00	4	用含硫或磷的化合物〔5〕	with compounds containing sulfur or phosphorus [5]
D06M13/248	D06M13/244	5	用含硫化合物〔5〕	with compounds containing sulfur [5]
D06M13/252	D06M13/248	6	硫醇、苯硫酚、硫化物或多硫化物，如巯基乙酸；锍化合物〔5〕	Mercaptans, thiophenols, sulfides or polysulfides, e.g. mercapto acetic acid; Sulfonium compounds [5]
D06M13/256	D06M13/248	6	磺化物〔5〕	Sulfonated compounds [5]
D06M13/262	D06M13/248	6	硫酸化物〔5〕	Sulfated compounds [5]
D06M13/265	D06M13/248	6	含卤原子〔5〕	containing halogen atoms [5]
D06M13/268	D06M13/248	6	砜〔5〕	Sulfones [5]
D06M13/272	D06M13/248	6	含硫原子的不饱和化合物〔5〕	Unsaturated compounds containing sulfur atoms [5]
D06M13/275	D06M13/272	7	二乙烯基硫醚〔5〕	Vinylthioethers [5]
D06M13/278	D06M13/272	7	乙烯基锍化合物；乙烯砜或乙烯亚砜化合物〔5〕	Vinylsulfonium compounds; Vinylsulfone or vinylsulfoxide compounds [5]
D06M13/282	D06M13/244	5	用含磷化合物〔5〕	with compounds containing phosphorus [5]
D06M13/285	D06M13/282	6	磷化氢；氧膦；硫膦；次膦酸或三价膦酸或其衍生物〔5〕	Phosphines; Phosphine oxides; Phosphine sulfides; Phosphinic or phosphinous acids or derivatives thereof [5]
D06M13/288	D06M13/282	6	膦酸或亚磷酸或其衍生物〔5〕	Phosphonic or phosphonous acids or derivatives thereof [5]
D06M13/29	D06M13/288	7	含卤原子〔5〕	containing halogen atoms [5]
D06M13/292	D06M13/282	6	磷酸或亚磷酸的单、双或三酯；其盐〔5〕	Mono-, di- or triesters of phosphoric or phosphorous acids; Salts thereof [5]
D06M13/295	D06M13/292	7	含聚乙二醇基团；含新戊基基团〔5〕	containing polyglycol moieties; containing neopentyl moieties [5]
D06M13/298	D06M13/292	7	含卤原子〔5〕	containing halogen atoms [5]
D06M13/313	D06M13/282	6	含磷原子的不饱和化合物，如乙烯化合物〔5〕	Unsaturated compounds containing phosphorus atoms, e.g. vinylphosphonium compounds [5]
D06M13/322	D06M13/00	4	用含氮的化合物〔5〕	with compounds containing nitrogen [5]
D06M13/325	D06M13/322	5	胺〔5〕	Amines [5]
D06M13/328	D06M13/325	6	氨基连接到一个无环或脂环族碳原子上〔5〕	the amino group being bound to an acyclic or cycloaliphatic carbon atom [5]
D06M13/33	D06M13/328	7	含卤原子〔5〕	containing halogen atoms [5]
D06M13/332	D06M13/325	6	二或多胺〔5〕	Di- or polyamines [5]
D06M13/335	D06M13/325	6	氨基连接到六元芳环的碳原子上〔5〕	having an amino group bound to a carbon atom of a six-membered aromatic ring [5]
D06M13/338	D06M13/325	6	有机肼；肼化合物〔5〕	Organic hydrazines; Hydrazinium compounds [5]
D06M13/342	D06M13/325	6	氨基一羧酸；三甲铵内酯；氨基磺酸；硫代三甲铵内酯〔5〕	Amino-carboxylic acids; Betaines; Aminosulfonic acids; Sulfo-betaines [5]
D06M13/345	D06M13/322	5	腈〔5〕	Nitriles [5]
D06M13/348	D06M13/345	6	不饱和的，如丙烯腈〔5〕	unsaturated, e.g. acrylonitrile [5]
D06M13/35	D06M13/322	5	杂环化合物〔5〕	Heterocyclic compounds [5]
D06M13/352	D06M13/35	6	五元杂环〔5〕	having five-membered heterocyclic rings [5]
D06M13/355	D06M13/35	6	六元杂环〔5〕	having six-membered heterocyclic rings [5]
D06M13/358	D06M13/355	7	三嗪〔5〕	Triazines [5]
D06M13/364	D06M13/358	8	三聚氰酸；异三聚氰酸；其衍生物〔5〕	Cyanuric acid; Isocyanuric acid; Derivatives thereof [5]
D06M13/368	D06M13/322	5	羟基胺；其衍生物，和Kritchevsky碱〔5〕	Hydroxyalkylamines; Derivatives thereof, e.g. Kritchevsky bases [5]
D06M13/372	D06M13/322	5	含醚化或酯化的羟基〔5〕	containing etherified or esterified hydroxy groups [5]
D06M13/376	D06M13/322	5	肟〔5〕	Oximes [5]
D06M13/382	D06M13/322	5	氨基醛〔5〕	Aminoaldehydes [5]
D06M13/385	D06M13/322	5	含环氧基〔5〕	containing epoxy groups [5]
D06M13/388	D06M13/322	5	氧化胺〔5〕	Amine oxides [5]
D06M13/392	D06M13/322	5	亚硝基化合物；硝基化合物〔5〕	Nitroso compounds; Nitro compounds [5]
D06M13/395	D06M13/322	5	异氰酸盐〔5〕	Isocyanates [5]
D06M13/398	D06M13/395	6	含氟原子〔5〕	containing fluorine atoms [5]
D06M13/402	D06M13/322	5	酰胺〔5〕	Amides [5]
D06M13/405	D06M13/402	6	酰化聚亚烷基聚酰胺〔5〕	Acylated polyalkylene polyamines [5]
D06M13/408	D06M13/402	6	酰化含有氟原子的酰胺；过氟羧酸的酰胺〔5〕	Acylated amines containing fluorine atoms; Amides of perfluoro carboxylic acids [5]
D06M13/41	D06M13/402	6	由不饱和羧酸衍生的酰胺，如丙烯酰胺〔5〕	Amides derived from unsaturated carboxylic acids, e.g. acrylamide [5]
D06M13/412	D06M13/41	7	N-甲基丙烯酰胺〔5〕	N-methylolacrylamides [5]
D06M13/415	D06M13/402	6	芳族羧酸的酰胺；酰化的芳族胺〔5〕	Amides of aromatic carboxylic acids; Acylated aromatic amines [5]
D06M13/418	D06M13/402	6	环酰胺，如内酰胺；草酰胺〔5〕	Cyclic amides, e.g. lactams; Amides of oxalic acid [5]
D06M13/419	D06M13/402	6	酰胺基上的氮原子由羟烷基或醚化或酯化的羟烷基基团取代的酰胺〔5〕	Amides having nitrogen atoms of amide groups substituted by hydroxyalkyl or by etherified or esterified hydroxyalkyl groups [5]
D06M13/422	D06M13/402	6	酰肼〔5〕	Hydrazides [5]
D06M13/425	D06M13/402	6	氨基甲酸或硫代氨基甲酸或其衍生物，如氨基甲酸乙酯（未取代的氨基甲酸入D06M 11/67）〔5〕	Carbamic or thiocarbamic acids or derivatives thereof, e.g. urethanes (unsubstituted carbamic acid D06M 11/67) [5]
D06M13/428	D06M13/425	7	含氟原子〔5〕	containing fluorine atoms [5]
D06M13/432	D06M13/402	6	尿素，硫脲或其衍生物，如二脲，含尿素化合物；二氰胺；胍，如双氰胺〔5〕	Urea, thiourea or derivatives thereof, e.g. biurets; Urea-inclusion compounds; Dicyanamides; Guanidines, e.g. dicyandiamides [5]
D06M13/435	D06M13/402	6	氨基脲〔5〕	Semicarbazides [5]
D06M13/438	D06M13/402	6	氨磺酰〔5〕	Sulfonamides [5]
D06M13/44	D06M13/322	5	含氮和磷	containing nitrogen and phosphorus
D06M13/447	D06M13/44	6	含氮原子的膦酸或次膦酸酯〔5〕	Phosphonates or phosphinates containing nitrogen atoms [5]
D06M13/453	D06M13/44	6	含氮原子的磷酸或亚磷酸盐〔5〕	Phosphates or phosphites containing nitrogen atoms [5]
D06M13/46	D06M13/322	5	含季氮原子的化合物（肼化合物入D06M 13/338；三甲胺乙内酯，硫代三甲胺乙内酯入D06M 13/342）〔5〕	Compounds containing quaternary nitrogen atoms (hydrazinium compounds D06M 13/338; betaines, sulfo-betaines D06M 13/342) [5]
D06M13/463	D06M13/46	6	由单胺衍生〔5〕	derived from monoamines [5]
D06M13/467	D06M13/46	6	由多胺衍生〔5〕	derived from polyamines [5]
D06M13/47	D06M13/46	6	由杂环化合物衍生〔5〕	derived from heterocyclic compounds [5]
D06M13/473	D06M13/47	7	有五元杂环〔5〕	having five-membered heterocyclic rings [5]
D06M13/477	D06M13/47	7	有六元杂环〔5〕	having six-membered heterocyclic rings [5]
D06M13/48	D06M13/322	5	含乙撑亚胺环	containing the ethylene imine ring
D06M13/487	D06M13/322	5	吖丙啶基膦；吖丙啶基膦的氧化物或硫化物；羰基吖丙啶或羰基三吖丙啶化合物；磺吖丙啶或磺酰二吖丙啶化合物〔5〕	Aziridinylphosphines; Aziridinylphosphine- oxides or sulfides; Carbonylaziridinyl or carbonylbisaziridinyl compounds; Sulfonylaziridinyl or sulfonylbisaziridinyl compounds [5]
D06M13/493	D06M13/487	6	全氟化物〔5〕	perfluorinated [5]
D06M13/50	D06M13/00	4	用有机金属化合物；用含有硼、硅、硒或锑原子的有机化合物〔5〕	with organometallic compounds; with organic compounds containing boron, silicon, selenium or tellurium atoms [5]
D06M13/503	D06M13/50	5	在碳原子和金属或硼、硅、硒或锑原子间无键〔5〕	without bond between a carbon atom and a metal or a boron, silicon, selenium or tellurium atom [5]
D06M13/507	D06M13/503	6	没有碳—硅键的有机硅化合物〔5〕	Organic silicon compounds without carbon-silicon bond [5]
D06M13/51	D06M13/50	5	用至少有1个碳—金属或碳—硼、碳—硅，碳—硒、碳—锑键的化合物〔5〕	Compounds with at least one carbon-metal or carbon-boron, carbon-silicon, carbon-selenium, or carbon-tellurium bond [5]
D06M13/513	D06M13/51	6	有至少1个碳—硅键的〔5〕	with at least one carbon-silicon bond [5]
D06M13/517	D06M13/513	7	含硅—卤键〔5〕	containing silicon-halogen bonds [5]
D06M13/52	D06M13/00	4	同机械处理相结合（装饰织物入D06Q）	combined with mechanical treatment (decorating textiles D06Q)
D06M13/525	D06M13/52	5	压花；轧光；挤压（造型入D06M 23/14）〔5〕	Embossing; Calendering; Pressing (moulding D06M 23/14) [5]
D06M13/53	D06M13/52	5	冷却；汽蒸或加热，如在流动床中；用熔融金属〔5〕	Cooling; Steaming or heating, e.g. in fluidised beds; with molten metals [5]
D06M13/535	D06M13/52	5	抽吸；真空处理；排气；蒸呢〔5〕	Suction; Vacuum treatment; Degassing; Blowing [5]
D06M14/00	D06M	3	含有碳—碳不饱和键的单体在纤维、纱、线、织物或用这些材料制成的纤维制品上接枝聚合（作用于未成形的聚合物入C08F 251/00至C08F 292/00）〔4〕	Graft polymerisation of monomers containing carbon-to-carbon unsaturated bonds on to fibres, threads, yarns, fabrics, or fibrous goods made from such materials (on to unshaped polymers C08F 251/00-C08F 292/00) [4]
D06M14/02	D06M14/00	4	作用于天然原料（D06M 14/18优先）〔4〕	on to materials of natural origin (D06M 14/18 takes precedence) [4]
D06M14/04	D06M14/02	5	植物性的原料，如纤维素及其衍生物〔4〕	of vegetal origin, e.g. cellulose or derivatives thereof [4]
D06M14/06	D06M14/02	5	动物性的原料，如毛，丝〔4〕	of animal origin, e.g. wool, silk [4]
D06M14/08	D06M14/00	4	作用于合成材料（D06M 14/18优先）〔4〕	on to materials of synthetic origin (D06M 14/18 takes precedence) [4]
D06M14/10	D06M14/08	5	通过仅涉及碳—碳不饱和键反应而制得的高分子化合物〔4〕	of macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M14/12	D06M14/08	5	通过涉及碳—碳不饱和键反应以外的方法制得的高分子化合物〔4〕	of macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M14/14	D06M14/12	6	聚酯〔4〕	Polyesters [4]
D06M14/16	D06M14/12	6	聚酰胺〔4〕	Polyamides [4]
D06M14/18	D06M14/00	4	利用波动能或粒子辐射〔4〕	using wave energy or particle radiation [4]
D06M14/20	D06M14/18	5	作用于天然原料〔4〕	on to materials of natural origin [4]
D06M14/22	D06M14/20	6	植物性原料，如纤维素及其衍生物〔4〕	of vegetal origin, e.g. cellulose or derivatives thereof [4]
D06M14/24	D06M14/20	6	动物性原料，如毛，丝〔4〕	of animal origin, e.g. wool, silk [4]
D06M14/26	D06M14/18	5	作用于合成材料〔4〕	on to materials of synthetic origin [4]
D06M14/28	D06M14/26	6	用仅涉及碳—碳不饱和键反应而制得的高分子化合物〔4〕	of macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M14/30	D06M14/26	6	用涉及碳—碳不饱和键反应以外的方法而制得的高分子化合物〔4〕	of macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M14/32	D06M14/30	7	聚酯〔4〕	Polyesters [4]
D06M14/34	D06M14/30	7	聚酰胺〔4〕	Polyamides [4]
D06M14/36	D06M14/00	4	在碳纤维上〔5〕	on to carbon fibres [5]
D06M15/00	D06M	3	用高分子化合物处理纤维、纱、线、织物或由这些材料制成的纤维制品；这种处理同机械处理相结合（D06M 10/00，D06M 14/00优先）〔5〕	Treating fibres, threads, yarns, fabrics or fibrous goods made from such materials with macromolecular compounds; Such treatment combined with mechanical treatment (D06M 10/00, D06M 14/00 take precedence) [5]
D06M15/01	D06M15/00	4	用天然高分子化合物及其衍生物（天然橡胶或其衍生物入D06M 15/693）〔4〕	with natural macromolecular compounds or derivatives thereof (with natural rubber or derivatives thereof D06M 15/693) [4]
D06M15/03	D06M15/01	5	多糖及其衍生物〔4〕	Polysaccharides or derivatives thereof [4]
D06M15/05	D06M15/03	6	纤维素及其衍生物〔4〕	Cellulose or derivatives thereof [4]
D06M15/055	D06M15/05	7	用从磺化工艺中得到的残余液体制备的纤维素〔5〕	with the residual liquors derived of the sulfatic process for the preparation of cellulose [5]
D06M15/07	D06M15/05	7	纤维素酯〔4〕	Cellulose esters [4]
D06M15/09	D06M15/05	7	纤维素醚〔4〕	Cellulose ethers [4]
D06M15/11	D06M15/03	6	淀粉及其衍生物〔4〕	Starch or derivatives thereof [4]
D06M15/13	D06M15/03	6	藻朊酸及其衍生物〔4〕	Alginic acid or derivatives thereof [4]
D06M15/15	D06M15/01	5	蛋白质及其衍生物〔4〕	Proteins or derivatives thereof [4]
D06M15/17	D06M15/01	5	天然树脂，含树脂的醇、酸或其衍生物〔4，5〕	Natural resins, resinous alcohols, resinous acids, or derivatives thereof [4, 5]
D06M15/19	D06M15/00	4	用合成高分子化合物（用合成橡胶入D06M 15/693）〔4〕	with synthetic macromolecular compounds (with synthetic rubber D06M 15/693) [4]
D06M15/21	D06M15/19	5	通过仅涉及碳—碳不饱和键的反应而制得的高分子化合物〔4〕	Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M15/227	D06M15/21	6	烃的，或其反应产物，如后卤化或磺酰氯化〔4〕	of hydrocarbons, or reaction products thereof, e.g. afterhalogenated or sulfochlorinated [4]
D06M15/233	D06M15/227	7	芳香族，如苯乙烯〔4〕	aromatic, e.g. styrene [4]
D06M15/244	D06M15/21	6	卤代烃的（后卤化的烃入D06M 15/227）〔4〕	of halogenated hydrocarbons (afterhalogenated hydrocarbons D06M 15/227) [4]
D06M15/248	D06M15/244	7	含氯的〔4〕	containing chlorine [4]
D06M15/252	D06M15/244	7	含溴的〔4〕	containing bromine [4]
D06M15/256	D06M15/244	7	含氟的〔4〕	containing fluorine [4]
D06M15/263	D06M15/21	6	不饱和羧酸及其盐或酯〔4〕	of unsaturated carboxylic acids; Salts or esters thereof [4]
D06M15/267	D06M15/263	7	带有氨基或季铵基的不饱和羧酸酯〔4〕	of unsaturated carboxylic esters having amino or quaternary ammonium groups [4]
D06M15/27	D06M15/263	7	不饱和羧酸的烷基聚烯烃乙二醇酯〔4〕	of alkylpolyalkylene glycol esters of unsaturated carboxylic acids [4]
D06M15/273	D06M15/263	7	带有环氧基的不饱和羧酸酯〔4〕	of unsaturated carboxylic esters having epoxy groups [4]
D06M15/277	D06M15/263	7	含氟的〔4〕	containing fluorine [4]
D06M15/285	D06M15/21	6	不饱和羧酸的酰胺或亚酰胺〔4〕	of unsaturated carboxylic acid amides or imides [4]
D06M15/29	D06M15/285	7	含有N-羟甲基或醚化N-羟甲基；含有N-氨基亚甲基；含有一个N-硫代亚甲基〔4，5〕	containing a N-methylol group or an etherified N-methylol group; containing a N-aminomethylene group; containing a N-sulfido-methylene group [4, 5]
D06M15/295	D06M15/285	7	含氟的〔4〕	containing fluorine [4]
D06M15/31	D06M15/21	6	不饱和腈类〔4〕	of unsaturated nitriles [4]
D06M15/327	D06M15/21	6	不饱和醇或其酯〔4〕	of unsaturated alcohols or esters thereof [4]
D06M15/33	D06M15/327	7	含氟的酯〔5〕	Esters containing fluorine [5]
D06M15/333	D06M15/327	7	乙酸乙烯酯；聚乙烯醇〔4〕	of vinyl acetate; Polyvinylalcohol [4]
D06M15/347	D06M15/21	6	不饱和醚、乙缩醛、半缩醛、酮或醛〔4，5〕	of unsaturated ethers, acetals, hemiacetals, ketones or aldehydes [4, 5]
D06M15/353	D06M15/347	7	含氟〔4〕	containing fluorine [4]
D06M15/356	D06M15/21	6	其他含有氮、硫、硅或磷原子的不饱和化合物〔5〕	of other unsaturated compounds containing nitrogen, sulfur, silicon or phosphorus atoms [5]
D06M15/37	D06M15/19	5	由仅涉及碳—碳不饱和键反应以外的方法制得的高分子化合物〔4〕	Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds [4]
D06M15/39	D06M15/37	6	聚醛树脂；聚酮树脂；聚缩醛〔4〕	Aldehyde resins; Ketone resins; Polyacetals [4]
D06M15/41	D06M15/39	7	酚醛或酚酮树脂〔4，5〕	Phenol-aldehyde or phenol-ketone resins [4, 5]
D06M15/415	D06M15/41	8	由含膦化合物改性〔5〕	modified by compounds containing phosphorus [5]
D06M15/423	D06M15/39	7	氨基醛树脂〔4，5〕	Amino-aldehyde resins [4, 5]
D06M15/427	D06M15/423	8	用烷氧基化合物或烯化氧改性〔4〕	modified by alkoxylated compounds or alkylene oxides [4]
D06M15/429	D06M15/423	8	用含硫化合物改性〔5〕	modified by compounds containing sulfur [5]
D06M15/43	D06M15/423	8	用膦化合物改性〔4〕	modified by phosphorus compounds [4]
D06M15/431	D06M15/43	9	用膦或氧膦；用的氧化物或盐〔5〕	by phosphines or phosphine oxides; by oxides or salts of the phosphonium radical [5]
D06M15/432	D06M15/43	9	用膦酸或其衍生物〔5〕	by phosphonic acids or derivatives thereof [5]
D06M15/433	D06M15/43	9	用膦酸改性〔4〕	by phosphoric acids [4]
D06M15/437	D06M15/423	8	含氟〔4〕	containing fluorine [4]
D06M15/45	D06M15/423	8	利用特殊催化剂〔4〕	Use of special catalysts [4]
D06M15/507	D06M15/37	6	聚酯〔4〕	Polyesters [4]
D06M15/51	D06M15/507	7	不饱和可聚合的聚酯〔5〕	Unsaturated polymerisable polyesters [5]
D06M15/513	D06M15/507	7	聚碳酸酯〔4〕	Polycarbonates [4]
D06M15/53	D06M15/37	6	聚醚（聚缩醛类入D06M 15/39）〔4〕	Polyethers (polyacetals D06M 15/39) [4]
D06M15/55	D06M15/37	6	环氧树脂〔4〕	Epoxy resins [4]
D06M15/555	D06M15/55	7	用含膦化合物改性〔5〕	modified by compounds containing phosphorus [5]
D06M15/564	D06M15/37	6	聚脲，聚氨酯类或其他含有酰脲或尿烷链的聚合物；由其制得的预缩聚物〔4〕	Polyureas, polyurethanes or other polymers having ureide or urethane links; Precondensation products forming them [4]
D06M15/568	D06M15/564	7	异氰酸盐与聚醚的反应产物〔4〕	Reaction products of isocyanates with polyethers [4]
D06M15/572	D06M15/564	7	异氰酸盐与聚酯或聚胺酯的反应物〔4〕	Reaction products of isocyanates with polyesters or polyesteramides [4]
D06M15/576	D06M15/564	7	含氟〔4〕	containing fluorine [4]
D06M15/579	D06M15/564	7	用含膦化合物改性〔5〕	modified by compounds containing phosphorus [5]
D06M15/59	D06M15/37	6	聚酰胺；聚酰亚胺〔4，5〕	Polyamides; Polyimides [4, 5]
D06M15/592	D06M15/59	7	由可聚合的不饱和脂肪酸和聚胺制造的〔5〕	made of polymerised unsaturated fatty acids and polyamines [5]
D06M15/595	D06M15/59	7	通过取代氨基甲酸上的氢原子得到的衍生物〔5〕	Derivatives obtained by substitution of a hydrogen atom of the carboxamide radical [5]
D06M15/598	D06M15/59	7	由含磷化合物改性〔5〕	modified by compounds containing phosphorus [5]
D06M15/61	D06M15/37	6	聚胺〔4〕	Polyamines [4]
D06M15/63	D06M15/37	6	主链中含硫，如聚砜〔4〕	containing sulfur in the main chain, e.g. polysulfones [4]
D06M15/643	D06M15/37	6	主链中含硅〔4〕	containing silicon in the main chain [4]
D06M15/647	D06M15/643	7	含有聚醚链的〔4〕	containing polyether sequences [4]
D06M15/65	D06M15/643	7	含有环氧基的〔4〕	containing epoxy groups [4]
D06M15/653	D06M15/643	7	由异氰酸盐化合物改性的〔4〕	modified by isocyanate compounds [4]
D06M15/657	D06M15/643	7	含氟〔4〕	containing fluorine [4]
D06M15/667	D06M15/37	6	主链中含磷〔4〕	containing phosphorus in the main chain [4]
D06M15/673	D06M15/667	7	主链中含磷与氮〔4〕	containing phosphorus and nitrogen in the main chain [4]
D06M15/687	D06M15/37	6	主链中含磷、硅、硫、氮、氧或碳以外的原子〔4〕	containing atoms other than phosphorus, silicon, sulfur, nitrogen, oxygen or carbon in the main chain [4]
D06M15/693	D06M15/00	4	用天然或合成橡胶或其衍生物〔4〕	with natural or synthetic rubber, or derivatives thereof [4]
D06M15/70	D06M15/00	4	结合机械处理（装饰织物入D06Q）	combined with mechanical treatment (decorating textiles D06Q)
D06M15/705	D06M15/70	5	压花；轧光；挤压（模塑入D06M 23/14）〔5〕	Embossing; Calendering; Pressing (moulding D06M 23/14) [5]
D06M15/71	D06M15/70	5	冷却；汽蒸或加热，如在流动床中；用熔融金属〔5〕	Cooling; Steaming or heating, e.g. in fluidised beds; with molten metals [5]
D06M15/715	D06M15/70	5	抽吸；真空处理；排气；蒸呢〔5〕	Suction; Vacuum treatment; Degassing; Blowing [5]
D06M16/00	D06M	3	纤维、纱、线、织物或这些原料制成的纤维制品的生化处理，如催酶〔2〕	Biochemical treatment of fibres, threads, yarns, fabrics, or fibrous goods made from such materials, e.g. enzymatic [2]
D06M17/00	D06M	3	多层纺织品的生产	Producing multi-layer textile fabrics
D06M17/02	D06M17/00	4	应用纤维素衍生物作为黏合剂〔5〕	by applying cellulose derivatives as adhesives [5]
D06M17/04	D06M17/00	4	应用合成树脂作为黏合剂〔5〕	by applying synthetic resins as adhesives [5]
D06M17/06	D06M17/04	5	乙烯化合物的聚合物〔5〕	Polymers of vinyl compounds [5]
D06M17/08	D06M17/04	5	聚酰胺〔5〕	Polyamides [5]
D06M17/10	D06M17/04	5	聚脲〔5〕	Polyurethanes [5]
D06M19/00	D06M	3	羽毛的处理〔2〕	Treatment of feathers [2]
D06M23/00	D06M	3	以方法为特征的纤维、纱、线、织物或由这些材料制成的纤维制品的处理〔5〕	Treatment of fibres, threads, yarns, fabrics or fibrous goods made from such materials, characterised by the process [5]
D06M23/02	D06M23/00	4	将处理剂可释放地固着或加进一个分配装置中的方法〔5〕	Processes in which the treating agent is releasably affixed or incorporated into a dispensing means [5]
D06M23/04	D06M23/00	4	以泡沫形式应用处理剂的方法〔5〕	Processes in which the treating agent is applied in the form of a foam [5]
D06M23/06	D06M23/00	4	以处理剂分散在气体中的方法，如空气溶胶（气溶胶组合物入C09K 3/30）〔5〕	Processes in which the treating agent is dispersed in a gas, e.g. aerosols (aerosol compositions C09K 3/30) [5]
D06M23/08	D06M23/00	4	以粉末或颗粒形式应用处理剂的方法（多层纺织织物的黏合剂入D06M 17/00；装饰织物入D06Q）〔5〕	Processes in which the treating agent is applied in powder or granular form (adhesives for multi-layer textile fabrics D06M 17/00; decorating textiles D06Q) [5]
D06M23/10	D06M23/00	4	在有机溶剂中分散或溶解处理剂的方法；回收上述有机溶剂的方法〔5〕	Processes in which the treating agent is dissolved or dispersed in organic solvents; Processes for the recovery of organic solvents thereof [5]
D06M23/12	D06M23/00	4	以处理剂渗入微胶囊中的方法（制造微胶囊入B01J 13/02）〔5〕	Processes in which the treating agent is incorporated in microcapsules (making microcapsules B01J 13/02) [5]
D06M23/14	D06M23/00	4	以三维形式固着或处理纺织材料的方法〔5〕	Processes for the fixation or treatment of textile materials in three-dimensional forms [5]
D06M23/16	D06M23/00	4	处理剂的不均匀应用方法，如单面处理，不同的处理（装饰织物入D06Q）〔5〕	Processes for the non-uniform application of treating agents, e.g. one-sided treatment; Differential treatment (decorating textiles D06Q) [5]
D06M23/18	D06M23/16	5	织物或编织物边缘的化学处理；裁剪边，接缝或纤维端的热或化学固着〔5〕	for the chemical treatment of borders of fabrics or knittings; for the thermal or chemical fixation of cuttings, seams or fibre ends [5]
